"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"COM00080110","OLAYA HERRERA, CO","2001-09-23","7.1","19.2",,"15.8"
"COM00080110","OLAYA HERRERA, CO","2001-09-26",,"24.6",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-09-28","0.3","23.6",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-09-30","0.5","21.8",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-10-03","3.0","22.5",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2001-10-06",,"24.2",,
"COM00080110","OLAYA HERRERA, CO","2001-10-07","34.0","23.4",,"16.2"
"COM00080110","OLAYA HERRERA, CO","2001-10-11","1.0","24.2",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-10-12","0.0","24.2",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2001-10-13",,"23.8",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2001-10-16","18.0","19.7",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2001-10-18",,"22.3",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2001-10-19","0.5","22.6",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-10-22","3.0","21.7",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2001-11-01",,"22.8",,
"COM00080110","OLAYA HERRERA, CO","2001-11-02","5.1","19.9",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-04","0.8","24.1",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2001-11-05","0.0","23.0",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2001-11-06","5.1","26.0",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-07","1.0","24.6",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2001-11-08","0.0","23.4",,"18.9"
"COM00080110","OLAYA HERRERA, CO","2001-11-09","2.0","25.3",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-10","0.0","24.3",,
"COM00080110","OLAYA HERRERA, CO","2001-11-11","1.0","24.3",,"16.2"
"COM00080110","OLAYA HERRERA, CO","2001-11-13",,"22.9",,
"COM00080110","OLAYA HERRERA, CO","2001-11-14","3.0","23.8",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-15","0.0","21.9",,
"COM00080110","OLAYA HERRERA, CO","2001-11-16","7.9","24.6",,"18.1"
"COM00080110","OLAYA HERRERA, CO","2001-11-17","2.0","22.6",,
"COM00080110","OLAYA HERRERA, CO","2001-11-18","5.1","24.3",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-22","4.1","22.8",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2001-11-23","0.0","23.5",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2001-11-25","13.0","21.8",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-11-26","0.0","22.9",,"17.9"
"COM00080110","OLAYA HERRERA, CO","2001-11-27","0.0","21.8",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-28","0.5","23.3",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-29","0.0","22.0",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-11-30","7.9","21.4",,
"COM00080110","OLAYA HERRERA, CO","2001-12-02","11.9","21.8",,"16.4"
"COM00080110","OLAYA HERRERA, CO","2001-12-04",,"24.2",,"16.5"
"COM00080110","OLAYA HERRERA, CO","2001-12-05",,"23.2",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-12-09","51.1","22.4",,"16.7"
"COM00080110","OLAYA HERRERA, CO","2001-12-10","0.0","20.6",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-12-12",,"22.2",,
"COM00080110","OLAYA HERRERA, CO","2001-12-16","0.5","21.0",,
"COM00080110","OLAYA HERRERA, CO","2001-12-17","13.0","19.8",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-12-18","10.9","23.0",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-12-19","3.0","22.1",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-12-20","0.0","24.0",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-12-21","0.0","22.3",,"18.4"
"COM00080110","OLAYA HERRERA, CO","2001-12-22","4.1","23.6",,"18.6"
"COM00080110","OLAYA HERRERA, CO","2001-12-23","6.1","23.8",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-12-30",,"22.7",,"19.2"
"COM00080110","OLAYA HERRERA, CO","2001-12-31","0.0","24.2",,"19.8"
"COM00080110","OLAYA HERRERA, CO","2002-01-06",,"23.8",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-01-09","1.0","21.5",,
"COM00080110","OLAYA HERRERA, CO","2002-01-10","2.0","21.6",,"17.3"
"COM00080110","OLAYA HERRERA, CO","2002-01-12",,"22.6",,"16.2"
"COM00080110","OLAYA HERRERA, CO","2002-01-13","0.5","21.5",,"18.1"
"COM00080110","OLAYA HERRERA, CO","2002-01-21",,"22.2",,
"COM00080110","OLAYA HERRERA, CO","2002-01-23",,"26.2",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2002-01-24",,"25.2",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2002-01-25",,"26.5",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-01-26",,"26.6",,
"COM00080110","OLAYA HERRERA, CO","2002-01-27",,"25.1",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-01-28",,"24.8",,
"COM00080110","OLAYA HERRERA, CO","2002-01-29",,"25.3",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-01-30",,"22.9",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-01-31",,"23.8",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-02-01",,"25.6",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2002-02-02",,"25.5",,"18.9"
"COM00080110","OLAYA HERRERA, CO","2002-02-03","0.0","21.2",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-02-04","5.1","21.7",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2002-02-05","1.0","23.2",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2002-02-06","0.0","24.2",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-02-07","3.0","21.7",,
"COM00080110","OLAYA HERRERA, CO","2002-02-08","15.0","20.6",,
"COM00080110","OLAYA HERRERA, CO","2002-02-09","7.1","21.4",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-02-10","0.0","22.7",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2002-02-11","0.5","21.9",,"17.5"
"COM00080110","OLAYA HERRERA, CO","2002-02-13",,"23.6",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-02-14","1.0","25.3",,
"COM00080110","OLAYA HERRERA, CO","2002-02-15","0.0","24.9",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-02-18","0.5","24.2",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-02-19","3.0","22.1",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-02-21",,"26.7",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2002-03-09",,"24.4",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-03-11","0.0","22.9",,
"COM00080110","OLAYA HERRERA, CO","2002-03-12","0.0","22.9",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2002-03-14","2.0","21.7",,"17.9"
"COM00080110","OLAYA HERRERA, CO","2002-03-24","14.0","21.8",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-03-25","0.8","24.8",,"17.9"
"COM00080110","OLAYA HERRERA, CO","2002-03-28","0.0","22.3",,"18.5"
"COM00080110","OLAYA HERRERA, CO","2002-04-01",,"24.7",,"18.7"
"COM00080110","OLAYA HERRERA, CO","2002-04-04",,"25.5",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-04-05",,"25.3",,"20.1"
"COM00080110","OLAYA HERRERA, CO","2002-04-06",,"23.4",,"19.3"
"COM00080110","OLAYA HERRERA, CO","2002-04-07","90.9","21.5",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2002-04-09","2.0","21.3",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-04-10","23.1","20.5",,"16.6"
"COM00080110","OLAYA HERRERA, CO","2002-04-12","11.9","21.8",,"16.7"
"COM00080110","OLAYA HERRERA, CO","2002-04-13","15.0","21.6",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2002-04-16","0.0","22.8",,"18.9"
"COM00080110","OLAYA HERRERA, CO","2002-04-17","1.0","23.8",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2002-04-19",,"20.8",,
"COM00080110","OLAYA HERRERA, CO","2002-04-27","11.9","22.3",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2002-04-28","6.1","22.2",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2002-04-29","0.3","24.2",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2002-04-30","0.0","22.8",,"19.3"
"COM00080110","OLAYA HERRERA, CO","2002-05-01","5.1","22.3",,"18.9"
"COM00080110","OLAYA HERRERA, CO","2002-05-02","0.0","25.3",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2002-05-03",,"23.6",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2002-05-07","1.0","24.2",,"19.7"
"COM00080110","OLAYA HERRERA, CO","2002-05-09","1.0","25.8",,"18.6"
"COM00080110","OLAYA HERRERA, CO","2002-05-12",,"23.5",,"18.6"
"COM00080110","OLAYA HERRERA, CO","2002-05-14",,"25.9",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2002-05-30","29.0","21.1",,"16.9"
"COM00080110","OLAYA HERRERA, CO","2002-05-31","3.0","23.3",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2002-06-05","2.0","19.8",,"17.3"
"COM00080110","OLAYA HERRERA, CO","2002-06-07","9.9","21.0","24.8","16.6"
"COM00080110","OLAYA HERRERA, CO","2002-06-09","14.0","21.3",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-06-10","1.0","23.7",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2002-06-11","50.0","24.4",,"16.2"
"COM00080110","OLAYA HERRERA, CO","2002-06-12","0.0","22.6",,"18.5"
